Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month
CPU,2000-06-05,180.0,54.0,120.0,37.0,1000.0,Unknown,AMD,,,,2000.0,6.0
CPU,2000-10-31,180.0,54.0,120.0,37.0,1000.0,Unknown,AMD,,,,2000.0,10.0
CPU,2000-08-14,180.0,60.0,120.0,37.0,1100.0,Unknown,AMD,,,,2000.0,8.0
CPU,2000-10-31,180.0,63.0,120.0,37.0,1133.0,Unknown,AMD,,,,2000.0,10.0
CPU,2000-10-31,180.0,66.0,120.0,37.0,1200.0,Unknown,AMD,,,,2000.0,10.0
CPU,2000-10-17,180.0,66.0,120.0,37.0,1200.0,Unknown,AMD,,,,2000.0,10.0
CPU,2000-06-05,180.0,38.0,120.0,37.0,600.0,Unknown,AMD,,,,2000.0,6.0
CPU,2000-06-05,180.0,38.0,120.0,37.0,650.0,Unknown,AMD,,,,2000.0,6.0
CPU,2000-06-05,180.0,40.0,120.0,37.0,700.0,Unknown,AMD,,,,2000.0,6.0
CPU,2000-06-05,180.0,43.0,120.0,37.0,750.0,Unknown,AMD,,,,2000.0,6.0
CPU,2000-06-05,180.0,45.0,120.0,37.0,800.0,Unknown,AMD,,,,2000.0,6.0
CPU,2000-06-05,180.0,47.0,120.0,37.0,850.0,Unknown,AMD,,,,2000.0,6.0
CPU,2000-06-05,180.0,50.0,120.0,37.0,900.0,Unknown,AMD,,,,2000.0,6.0
CPU,2000-06-05,180.0,52.0,120.0,37.0,950.0,Unknown,AMD,,,,2000.0,6.0
CPU,,180.0,30.0,129.0,731.0,600.0,Unknown,Intel,,,,,
CPU,,180.0,30.0,129.0,731.0,667.0,Intel,Intel,,,,,
CPU,2000-11-20,180.0,55.0,217.0,42.0,1400.0,Intel,Intel,,,,2000.0,11.0
CPU,2000-11-20,180.0,58.0,217.0,42.0,1500.0,Intel,Intel,,,,2000.0,11.0
CPU,2000-07-31,180.0,29.0,80.0,44.0,1133.0,Intel,Intel,,,,2000.0,7.0
CPU,2000-08-25,180.0,30.0,106.0,28.0,1000.0,Intel,Intel,,,,2000.0,8.0
CPU,2000-08-25,180.0,31.0,106.0,28.0,1000.0,Intel,Intel,,,,2000.0,8.0
CPU,2000-05-22,180.0,29.0,375.0,140.0,700.0,Intel,Intel,,,,2000.0,5.0
CPU,2000-05-22,180.0,30.0,375.0,140.0,700.0,Intel,Intel,,,,2000.0,5.0
CPU,2000-05-22,180.0,30.0,375.0,140.0,700.0,Intel,Intel,,,,2000.0,5.0
CPU,2000-05-22,180.0,30.0,375.0,140.0,700.0,Intel,Intel,,,,2000.0,5.0
CPU,2000-01-12,180.0,25.0,106.0,28.0,800.0,Intel,Intel,,,,2000.0,1.0
CPU,2000-01-12,180.0,25.0,106.0,28.0,800.0,Intel,Intel,,,,2000.0,1.0
CPU,2000-04-10,180.0,25.0,106.0,28.0,866.0,Intel,Intel,,,,2000.0,4.0
CPU,2000-04-10,180.0,25.0,106.0,28.0,866.0,Intel,Intel,,,,2000.0,4.0
CPU,2000-05-24,180.0,29.0,106.0,28.0,933.0,Intel,Intel,,,,2000.0,5.0
CPU,2000-05-24,180.0,30.0,106.0,28.0,933.0,Intel,Intel,,,,2000.0,5.0
CPU,2001-03-21,180.0,68.0,120.0,37.0,1300.0,Unknown,AMD,,,,2001.0,3.0
