Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month,Type_enc,Vendor_enc,Foundry_Fujitsu,Foundry_GlobalFoundries,Foundry_IBM,Foundry_Intel,Foundry_NEC,Foundry_Renesas,Foundry_Samsung,Foundry_Sony,Foundry_TSMC,Foundry_UMC,Foundry_Unknown,Transistors (million)_log,Die Size (mm^2)_log,TDP (W)_log,FP16 GFLOPS_log,FP32 GFLOPS_log,FP64 GFLOPS_log
180.0,54.0,120.0,37.0,1000.0,,,,2000.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.007333185232471,,,
180.0,54.0,120.0,37.0,1000.0,,,,2000.0,10.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.007333185232471,,,
180.0,60.0,120.0,37.0,1100.0,,,,2000.0,8.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.110873864173311,,,
180.0,63.0,120.0,37.0,1133.0,,,,2000.0,10.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.1588830833596715,,,
180.0,66.0,120.0,37.0,1200.0,,,,2000.0,10.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.204692619390966,,,
180.0,66.0,120.0,37.0,1200.0,,,,2000.0,10.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.204692619390966,,,
180.0,38.0,120.0,37.0,600.0,,,,2000.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,3.6635616461296463,,,
180.0,38.0,120.0,37.0,650.0,,,,2000.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,3.6635616461296463,,,
180.0,40.0,120.0,37.0,700.0,,,,2000.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,3.713572066704308,,,
180.0,43.0,120.0,37.0,750.0,,,,2000.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,3.784189633918261,,,
180.0,45.0,120.0,37.0,800.0,,,,2000.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,3.828641396489095,,,
180.0,47.0,120.0,37.0,850.0,,,,2000.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,3.871201010907891,,,
180.0,50.0,120.0,37.0,900.0,,,,2000.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,3.9318256327243257,,,
180.0,52.0,120.0,37.0,950.0,,,,2000.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,3.970291913552122,,,
180.0,30.0,129.0,731.0,600.0,,,,,,0,7.0,0,0,0,0,0,0,0,0,0,0,1,6.595780513961311,4.867534450455582,3.4339872044851463,,,
180.0,30.0,129.0,731.0,667.0,,,,,,0,7.0,0,0,0,1,0,0,0,0,0,0,0,6.595780513961311,4.867534450455582,3.4339872044851463,,,
180.0,55.0,217.0,42.0,1400.0,,,,2000.0,11.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.02535169073515,,,
180.0,58.0,217.0,42.0,1500.0,,,,2000.0,11.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.07753744390572,,,
180.0,29.0,80.0,44.0,1133.0,,,,2000.0,7.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4011973816621555,,,
180.0,30.0,106.0,28.0,1000.0,,,,2000.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.367295829986474,4.672828834461906,3.4339872044851463,,,
180.0,31.0,106.0,28.0,1000.0,,,,2000.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.367295829986474,4.672828834461906,3.4657359027997265,,,
180.0,29.0,375.0,140.0,700.0,,,,2000.0,5.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.948759890378168,5.929589143389895,3.4011973816621555,,,
180.0,30.0,375.0,140.0,700.0,,,,2000.0,5.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.948759890378168,5.929589143389895,3.4339872044851463,,,
180.0,30.0,375.0,140.0,700.0,,,,2000.0,5.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.948759890378168,5.929589143389895,3.4339872044851463,,,
180.0,30.0,375.0,140.0,700.0,,,,2000.0,5.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.948759890378168,5.929589143389895,3.4339872044851463,,,
180.0,25.0,106.0,28.0,800.0,,,,2000.0,1.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.367295829986474,4.672828834461906,3.258096538021482,,,
180.0,25.0,106.0,28.0,800.0,,,,2000.0,1.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.367295829986474,4.672828834461906,3.258096538021482,,,
180.0,25.0,106.0,28.0,866.0,,,,2000.0,4.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.367295829986474,4.672828834461906,3.258096538021482,,,
180.0,25.0,106.0,28.0,866.0,,,,2000.0,4.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.367295829986474,4.672828834461906,3.258096538021482,,,
180.0,29.0,106.0,28.0,933.0,,,,2000.0,5.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.367295829986474,4.672828834461906,3.4011973816621555,,,
180.0,30.0,106.0,28.0,933.0,,,,2000.0,5.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.367295829986474,4.672828834461906,3.4339872044851463,,,
180.0,68.0,120.0,37.0,1300.0,,,,2001.0,3.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.23410650459726,,,
180.0,70.0,120.0,37.0,1333.0,,,,2001.0,3.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.2626798770413155,,,
180.0,72.0,120.0,37.0,1400.0,,,,2001.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.290459441148391,,,
180.0,72.0,120.0,37.0,1400.0,,,,2001.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.290459441148391,,,
90.0,51.0,84.0,69.0,2000.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.248495242049359,4.442651256490317,3.9512437185814275,,,
90.0,51.0,84.0,69.0,2000.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.248495242049359,4.442651256490317,3.9512437185814275,,,
